 ,
 _ALL,
EXPM_PRTX,jliu
FCSM,syates
FCSM_ALL,syates
FCSM_FCS1,syates
Financial,syates
Financial_Cubes,syates
Financial_General Ledger Account Structure,syates
Financials,syates
FINDER,sduepner
FINDER_ITEM,sduepner
FINDER_VENDOR,sduepner
FLXM,lguo
FLXM_COACK,lguo
FLXM_COPack,lguo
FLXM_COPICK,lguo
FLXM_CORV,lguo
FLXM_CPPICK,lguo
FLXM_LABELS,lguo
FLXM_MISC,lguo
FLXM_MOPICK,lguo
FLXM_MOPRT,lguo
FLXM_MORV,lguo
FLXM_POPICK,lguo
FLXM_PRINT,lguo
FLXM_VLABEL,lguo
FSE 8.4 to 8.5,bmarty
FSE 8.4 to 8.5_ALL,bmarty
GLSM,lguo
GLSM_ALL,lguo
GLSM_BKMT,lguo
GLSM_EXTRACT,lguo
GLSM_GLAG,lguo
GLSM_GLAT,lguo
GLSM_GLAU,lguo
GLSM_GLAV,lguo
GLSM_GLAW,lguo
GLSM_GLBD,lguo
GLSM_GLBR,lguo
GLSM_GLBU,lguo
GLSM_GLCA,lguo
GLSM_GLCF,lguo
GLSM_GLCO,lguo
GLSM_GLDQ,lguo
GLSM_GLEX,lguo
GLSM_GLGQ,lguo
GLSM_GLHP,lguo
GLSM_GLJD,lguo
GLSM_GLJE,lguo
GLSM_GLJL,lguo
GLSM_GLJP,lguo
GLSM_GLJR,lguo
GLSM_GLMA,lguo
GLSM_GLMC,lguo
GLSM_GLMQ,lguo
GLSM_GLOS,lguo
GLSM_GLOW,lguo
GLSM_GLPC,lguo
GLSM_GLRD,lguo
GLSM_GLRP,lguo
GLSM_GLSC,lguo
GLSM_GLSI,lguo
GLSM_GLSS,lguo
GLSM_GLTG,lguo
GLSM_GLTP,lguo
GLSM_IMPORT,lguo
GLSM_PRINT,lguo
GUI,sduepner
GUI_ALL,sduepner
GUI_GUI,sduepner
GUI_MISC,sduepner
GUI_PR_PREVIEW,sduepner
GUI_WEBUI,sduepner
IMPM,lguo
IMPM_ALL,lguo
IMPM_IMPT,lguo
IMPM_MISC,lguo
IMPM_RCVR,lguo
IMPM_TMPT,lguo
